Date,Row,Column,Temp,Pop,Pool,Sibship,Treatment,Sex,Survival
2/13/22,8,4,35.5,SC,SC2,SC2-A3,21.55,U,1
2/13/22,8,4,35.5,SC,SC2,SC2-A3,21.55,U,1
2/11/22,8,1,34,BMR,BMR2,BMR2-B2,21.55,U,1
2/11/22,7,1,34,BMR,BMR2,BMR2-A1,21.55,F,1
2/11/22,7,1,34,BMR,BMR2,BMR2-A1,21.55,F,1
2/11/22,7,1,34,BMR,BMR2,BMR2-A1,21.55,M,1
2/11/22,6,1,34,BMR,BMR2,BMR2-C2,21.55,F,1
2/11/22,5,1,34,BMR,BMR2,BMR2-C1,21.55,F,1
2/11/22,5,1,34,BMR,BMR2,BMR2-C1,21.55,F,1
2/11/22,5,1,34,BMR,BMR2,BMR2-C1,21.55,F,1
2/11/22,5,1,34,BMR,BMR2,BMR2-C1,21.55,M,1
2/11/22,4,1,34,BMR,BMR2,BMR2-A3,21.55,F,1
2/11/22,4,1,34,BMR,BMR2,BMR2-A3,21.55,M,1
2/11/22,3,1,34,BMR,BMR2,BMR2-C4,21.55,F,1
2/11/22,3,1,34,BMR,BMR2,BMR2-C4,21.55,F,1
2/11/22,3,1,34,BMR,BMR2,BMR2-C4,21.55,M,1
2/11/22,8,4,34.5,BMR,BMR2,BMR2-B2,21.55,F,1
2/11/22,8,4,34.5,BMR,BMR2,BMR2-B2,21.55,U,1
2/11/22,7,4,34.5,BMR,BMR2,BMR2-A1,21.55,F,1
2/11/22,7,4,34.5,BMR,BMR2,BMR2-A1,21.55,F,1
2/11/22,6,4,34.5,BMR,BMR2,BMR2-C2,21.55,F,1
2/11/22,6,4,34.5,BMR,BMR2,BMR2-C2,21.55,F,1
2/11/22,6,4,34.5,BMR,BMR2,BMR2-C2,21.55,M,1
2/11/22,5,4,34.5,BMR,BMR2,BMR2-C1,21.55,F,1
2/11/22,5,4,34.5,BMR,BMR2,BMR2-C1,21.55,M,1
2/11/22,5,4,34.5,BMR,BMR2,BMR2-C1,21.55,U,1
2/11/22,5,4,34.5,BMR,BMR2,BMR2-C1,21.55,U,1
2/11/22,4,4,34.5,BMR,BMR2,BMR2-A3,21.55,F,1
2/11/22,4,4,34.5,BMR,BMR2,BMR2-A3,21.55,M,1
2/11/22,4,4,34.5,BMR,BMR2,BMR2-A3,21.55,M,1
2/11/22,3,4,34.5,BMR,BMR2,BMR2-C4,21.55,M,1
2/11/22,7,5,34.8,BMR,BMR2,BMR2-A1,21.55,F,1
2/11/22,7,5,34.8,BMR,BMR2,BMR2-A1,21.55,F,1
2/11/22,7,5,34.8,BMR,BMR2,BMR2-A1,21.55,F,1
2/11/22,6,5,34.8,BMR,BMR2,BMR2-C2,21.55,F,1
2/11/22,5,5,34.8,BMR,BMR2,BMR2-C1,21.55,F,1
2/11/22,5,5,34.8,BMR,BMR2,BMR2-C1,21.55,M,1
2/11/22,5,5,34.8,BMR,BMR2,BMR2-C1,21.55,U,1
2/11/22,5,5,34.8,BMR,BMR2,BMR2-C1,21.55,U,1
2/11/22,4,5,34.8,BMR,BMR2,BMR2-A3,21.55,F,1
2/11/22,4,5,34.8,BMR,BMR2,BMR2-A3,21.55,F,1
2/11/22,4,5,34.8,BMR,BMR2,BMR2-A3,21.55,F,1
2/11/22,3,5,34.8,BMR,BMR2,BMR2-C4,21.55,F,1
2/11/22,3,5,34.8,BMR,BMR2,BMR2-C4,21.55,F,1
2/11/22,3,5,34.8,BMR,BMR2,BMR2-C4,21.55,M,1
2/11/22,3,5,34.8,BMR,BMR2,BMR2-C4,21.55,M,1
2/11/22,1,6,35.3,BMR,BMR2,BMR2-B2,21.55,U,1
2/11/22,1,6,35.3,BMR,BMR2,BMR2-B2,21.55,U,1
2/11/22,1,6,35.3,BMR,BMR2,BMR2-B2,21.55,U,1
2/11/22,2,6,35.3,BMR,BMR2,BMR2-A1,21.55,F,1
2/11/22,2,6,35.3,BMR,BMR2,BMR2-A1,21.55,F,1
2/11/22,3,6,35.3,BMR,BMR2,BMR2-C2,21.55,F,1
2/11/22,4,6,35.3,BMR,BMR2,BMR2-C1,21.55,F,1
2/11/22,4,6,35.3,BMR,BMR2,BMR2-C1,21.55,F,1
2/11/22,4,6,35.3,BMR,BMR2,BMR2-C1,21.55,M,1
2/11/22,5,6,35.3,BMR,BMR2,BMR2-A3,21.55,F,1
2/11/22,5,6,35.3,BMR,BMR2,BMR2-A3,21.55,F,1
2/11/22,6,6,35.3,BMR,BMR2,BMR2-C4,21.55,F,1
2/11/22,6,6,35.3,BMR,BMR2,BMR2-C4,21.55,U,1
2/11/22,1,7,35.8,BMR,BMR2,BMR2-B2,21.55,F,1
2/11/22,1,7,35.8,BMR,BMR2,BMR2-B2,21.55,M,1
2/11/22,2,7,35.8,BMR,BMR2,BMR2-A1,21.55,F,1
2/11/22,2,7,35.8,BMR,BMR2,BMR2-A1,21.55,M,1
2/11/22,2,7,35.8,BMR,BMR2,BMR2-A1,21.55,U,1
2/11/22,3,7,35.8,BMR,BMR2,BMR2-C2,21.55,F,1
2/11/22,3,7,35.8,BMR,BMR2,BMR2-C2,21.55,M,1
2/11/22,4,7,35.8,BMR,BMR2,BMR2-C1,21.55,F,1
2/11/22,4,7,35.8,BMR,BMR2,BMR2-C1,21.55,U,1
2/11/22,4,7,35.8,BMR,BMR2,BMR2-C1,21.55,U,1
2/11/22,5,7,35.8,BMR,BMR2,BMR2-A3,21.55,F,1
2/11/22,5,7,35.8,BMR,BMR2,BMR2-A3,21.55,U,1
2/11/22,6,7,35.8,BMR,BMR2,BMR2-C4,21.55,F,1
2/11/22,2,8,36.2,BMR,BMR2,BMR2-A1,21.55,F,1
2/11/22,2,8,36.2,BMR,BMR2,BMR2-A1,21.55,M,1
2/11/22,3,8,36.2,BMR,BMR2,BMR2-C2,21.55,F,1
2/11/22,4,8,36.2,BMR,BMR2,BMR2-C1,21.55,F,1
2/11/22,4,8,36.2,BMR,BMR2,BMR2-C1,21.55,F,1
2/11/22,4,8,36.2,BMR,BMR2,BMR2-C1,21.55,M,1
2/11/22,4,8,36.2,BMR,BMR2,BMR2-C1,21.55,U,1
2/11/22,5,8,36.2,BMR,BMR2,BMR2-A3,21.55,F,1
2/11/22,6,8,36.2,BMR,BMR2,BMR2-C4,21.55,U,1
2/11/22,2,9,36.5,BMR,BMR2,BMR2-A1,21.55,F,1
2/11/22,3,9,36.5,BMR,BMR2,BMR2-C2,21.55,F,1
2/11/22,3,9,36.5,BMR,BMR2,BMR2-C2,21.55,M,1
2/11/22,4,9,36.5,BMR,BMR2,BMR2-C1,21.55,F,1
2/11/22,4,9,36.5,BMR,BMR2,BMR2-C1,21.55,M,1
2/11/22,5,9,36.5,BMR,BMR2,BMR2-A3,21.55,F,1
2/11/22,6,9,36.5,BMR,BMR2,BMR2-C4,21.55,F,1
2/11/22,7,12,37,BMR,BMR2,BMR2-A1,21.55,F,1
2/11/22,6,12,37,BMR,BMR2,BMR2-C2,21.55,F,1
2/11/22,6,12,37,BMR,BMR2,BMR2-C2,21.55,F,1
2/11/22,5,12,37,BMR,BMR2,BMR2-C1,21.55,F,1
2/11/22,5,12,37,BMR,BMR2,BMR2-C1,21.55,F,1
2/11/22,5,12,37,BMR,BMR2,BMR2-C1,21.55,M,1
2/11/22,4,12,37,BMR,BMR2,BMR2-A3,21.55,F,1
2/15/22,1,1,34,BMR,BMR2,BMR2-C2,16.42,F,1
2/15/22,1,1,34,BMR,BMR2,BMR2-C2,16.42,F,1
2/15/22,1,1,34,BMR,BMR2,BMR2-C2,16.42,M,1
2/15/22,1,1,34,BMR,BMR2,BMR2-C2,16.42,M,1
2/15/22,2,1,34,BMR,BMR1,BMR1-C2,21.55,F,1
