Season,Sibship,Temp,Sib_ID,Ref_date,Avg_age,DTG,DPG,Pop_size
Aug,BMR5_A1,21.55,BMR5_A1_H,1/31/22,32.41176471,24.30434,8.10742471,17
Aug,BMR5_B1,21.55,BMR5_B1_H,1/31/22,29.76190476,24.30434,5.45756476,21
Aug,BMR5_B2,21.55,BMR5_B2_H,1/31/22,27.42857143,24.30434,3.12423143,35
Aug,BMR5_B3,21.55,BMR5_B3_H,1/31/22,36.6,24.30434,12.29566,25
Aug,BMR5_A2,21.55,BMR5_A2_H,1/31/22,45,24.30434,20.69566,7
Aug,BMR5_A3,21.55,BMR5_A3_H,1/31/22,37.30769231,24.30434,13.00335231,13
Aug,BMR5_A4,21.55,BMR5_A4_H,1/31/22,28.87804878,24.30434,4.57370878,41
Aug,BMR5_B4,21.55,BMR5_B4_H,1/31/22,48,24.30434,23.69566,4
Aug,BMR5_B4B,21.55,BMR5_B4B_H,1/31/22,24.55102041,24.30434,0.24668041,49
Aug,BMR5_C3,21.55,BMR5_C3_H,1/31/22,26.08823529,24.30434,1.78389529,34
Aug,BMR5_C1,21.55,BMR5_C1_H,1/31/22,35.20833333,24.30434,10.90399333,24
Aug,BMR5_C2,21.55,BMR5_C2_H,1/31/22,34.75,24.30434,10.44566,24
Aug,BMR5_C4,21.55,BMR5_C4_H,1/31/22,21.07142857,24.30434,-3.23291143,61
Aug,BMR1_A1,21.55,BMR1_A1_H,1/31/22,33.56,24.30434,9.25566,25
Aug,BMR1_A2,21.55,BMR1_A2_H,1/31/22,38.28571429,24.30434,13.98137429,14
Aug,BMR1_A3,21.55,BMR1_A3_H,1/31/22,30.28571429,24.30434,5.98137429,21
Aug,BMR1_A4,21.55,BMR1_A4_H,1/31/22,27.88888889,24.30434,3.58454889,27
Aug,BMR1_B1,21.55,BMR1_B1_H,1/31/22,34.125,24.30434,9.82066,16
Aug,BMR1_B2,21.55,BMR1_B2_H,1/31/22,37,24.30434,12.69566,12
Aug,BMR1_B3,21.55,BMR1_B3_H,1/31/22,39,24.30434,14.69566,4
Aug,BMR1_B4,21.55,BMR1_B4_H,1/31/22,36.52941176,24.30434,12.22507176,17
Aug,BMR1_C1,21.55,BMR1_C1_H,1/31/22,36.6,24.30434,12.29566,10
Aug,BMR1_C2,21.55,BMR1_C2_H,1/31/22,25.2972973,24.30434,0.9929573,37
Aug,BMR1_C3,21.55,BMR1_C3_H,1/31/22,38.42857143,24.30434,14.12423143,21
Aug,BMR1_C4,21.55,BMR1_C4_H,1/31/22,28.88888889,24.30434,4.58454889,27
Aug,SC2_A1,21.55,SC2_A1_H,1/31/22,42.5,26.3913,16.1087,24
Aug,SC2_B1,21.55,SC2_B1_H,1/31/22,35.81818182,26.3913,9.42688182,22
Aug,SC2_B2,21.55,SC2_B2_H,1/31/22,27.03846154,26.3913,0.64716154,52
Aug,SC2_B3,21.55,SC2_B3_H,1/31/22,28.06896552,26.3913,1.67766552,29
Aug,SC2_C1,21.55,SC2_C1_H,1/31/22,32.83050847,26.3913,6.43920847,59
Aug,SC2_C2,21.55,SC2_C2_H,1/31/22,27.34848485,26.3913,0.95718485,66
Aug,SC2_A3,21.55,SC2_A3_H,1/31/22,25.65517241,26.3913,-0.73612759,29
Aug,SC2_C3,21.55,SC2_C3_H,1/31/22,31.77358491,26.3913,5.38228491,53
Aug,SC2_C4,21.55,SC2_C4_H,1/31/22,34.71428571,26.3913,8.32298571,7
Aug,SC2_A4,21.55,SC2_A4_H,1/31/22,35.26666667,26.3913,8.87536667,30
Aug,SC2_B4,21.55,SC2_B4_H,1/31/22,31.94285714,26.3913,5.55155714,70
Aug,RMR3_A2,21.55,RMR3_A2_H,1/31/22,31.08,25.08696,5.99304,25
Aug,RMR3_B1,21.55,RMR3_B1_H,1/31/22,32.18181818,25.08696,7.09485818,22
Aug,RMR3_A1,21.55,RMR3_A1_H,1/31/22,29.65909091,25.08696,4.57213091,44
Aug,RMR3_A4,21.55,RMR3_A4_H,1/31/22,28.21568627,25.08696,3.12872627,51
Aug,RMR3_A3,21.55,RMR3_A3_H,1/31/22,31,25.08696,5.91304,26
Aug,RMR3_B2,21.55,RMR3_B2_H,1/31/22,36.59574468,25.08696,11.50878468,47
Aug,RMR3_B3,21.55,RMR3_B3_H,1/31/22,35.94202899,25.08696,10.85506899,69
Aug,RMR3_B4,21.55,RMR3_B4_H,1/31/22,31.125,25.08696,6.03804,56
Aug,RMR3_C3,21.55,RMR3_C3_H,1/31/22,29.11538462,25.08696,4.02842462,52
Aug,RMR3_C4,21.55,RMR3_C4_H,1/31/22,30.56410256,25.08696,5.47714256,78
