Season,Pop,Pool,Sibship,Temp,Sib_ID,Fem_num,Fem_ID,LT50_date,Date_sampled,Date_diss_im,Egg_count,Total_length,LT50,Q10,Adj_egg_count,Lag
Feb,BMR,BMR1,BMR1_B2,21.55,BMR1_B2_H,1,BMR1_B2_H1,9/11/22,9/20/22,5/5/23,34,1150.236,,,,9
Feb,BMR,BMR1,BMR1_A1,21.55,BMR1_A1_H,1,BMR1_A1_H1,9/6/22,9/20/22,5/5/23,29,1172.659,,,,14
Feb,RMR,RMR4,RMR4_B2,21.55,RMR4_B2_H,1,RMR4_B2_H1,9/11/22,9/20/22,5/5/23,22,1076.536,,,,9
Feb,SC,SC1,SC1_C2,21.55,SC1_C2_H,1,SC1_C2_H1,9/8/22,9/20/22,5/5/23,18,1212.226,,,,12
Feb,SC,SC1,SC1_C2,21.55,SC1_C2_H,2,SC1_C2_H2,9/8/22,9/20/22,5/5/23,43,1425.07,,,,12
Feb,RMR,RMR4,RMR4_A1,21.55,RMR4_A1_H,1,RMR4_A1_H1,9/13/22,9/20/22,5/5/23,13,978.555,,,,7
Feb,PTD,PTD3,PTD3_C2,21.55,PTD3_C2_H,1,PTD3_C2_H1,8/30/22,9/20/22,5/5/23,14,1064.275,,,,21
Feb,BMR,BMR1,BMR1_A4,21.55,BMR1_A4_H,1,BMR1_A4_H1,9/11/22,9/20/22,5/5/23,18,949.182,,,,9
Feb,SC,SC3,SC3_A1,21.55,SC3_A1_H,1,SC3_A1_H1,9/11/22,9/20/22,5/5/23,44,1145.67,,,,9
Feb,SC,SC1,SC1_B4,16.42,SC1_B4_L,1,SC1_B4_L1,9/8/22,9/22/22,5/5/23,56,1450.718,,,,14
Feb,BMR,BMR6,BMR6_B1B,21.55,BMR6_B1B_H,1,BMR6_B1B_H1,9/11/22,9/11/22,5/5/23,34,1435.869,,,,0
Feb,BMR,BMR6,BMR6_B1B,21.55,BMR6_B1B_H,2,BMR6_B1B_H2,9/11/22,9/11/22,5/5/23,34,1227.501,,,,0
Feb,BMR,BMR6,BMR6_B1B,21.55,BMR6_B1B_H,3,BMR6_B1B_H3,9/11/22,9/11/22,5/5/23,27,1310.612,,,,0
