Season,Sibship,Temp,Sib_ID,Ref_date,Avg_age,DTG,DPG,Pop_size
Feb,BMR1-A1,21.55,BMR1-A1_H,9/21/22,60.16981132,27.43274,32.73707132,53
Feb,BMR1-B1,21.55,BMR1-B1_H,9/21/22,77.35483871,27.43274,49.92209871,31
Feb,BMR1-C2,21.55,BMR1-C2_H,9/21/22,65.41269841,27.43274,37.97995841,63
Feb,BMR1-B4,21.55,BMR1-B4_H,9/21/22,54.22580645,27.43274,26.79306645,31
Feb,BMR4-A1,21.55,BMR4-A1_H,9/21/22,70.61290323,27.43274,43.18016323,31
Feb,BMR4-B1,21.55,BMR4-B1_H,9/21/22,58.5,27.43274,31.06726,42
Feb,BMR4-B4,21.55,BMR4-B4_H,9/21/22,62.26315789,27.43274,34.83041789,19
Feb,BMR6-A4,21.55,BMR6-A4_H,9/21/22,71.26086957,27.43274,43.82812957,46
Feb,BMR6-C4,21.55,BMR6-C4_H,9/21/22,66.79104478,27.43274,39.35830478,58
Feb,BMR1-C1,21.55,BMR1-C1_H,9/21/22,69.5,27.43274,42.06726,48
Feb,BMR1-A3,21.55,BMR1-A3_H,9/21/22,70.30434783,27.43274,42.87160783,46
Feb,BMR1-B3,21.55,BMR1-B3_H,9/21/22,65.62264151,27.43274,38.18990151,53
Feb,BMR1-C4,21.55,BMR1-C4_H,9/21/22,61.02040816,27.43274,33.58766816,49
Feb,BMR4-A3,21.55,BMR4-A3_H,9/21/22,68.55,27.43274,41.11726,60
Feb,BMR4-A4,21.55,BMR4-A4_H,9/21/22,75,27.43274,47.56726,15
Feb,BMR4-B2,21.55,BMR4-B2_H,9/21/22,64.91549296,27.43274,37.48275296,71
Feb,BMR4-C3,21.55,BMR4-C3_H,9/21/22,66.73584906,27.43274,39.30310906,53
Feb,BMR4-C4,21.55,BMR4-C4_H,9/21/22,72.19444444,27.43274,44.76170444,36
Feb,BMR4-C2,21.55,BMR4-C2_H,9/21/22,72.54545455,27.43274,45.11271455,11
Feb,BMR6-A1,21.55,BMR6-A1_H,9/21/22,63.35416667,27.43274,35.92142667,48
Feb,BMR6-A2,21.55,BMR6-A2_H,9/21/22,77,27.43274,49.56726,22
Feb,BMR6-A3,21.55,BMR6-A3_H,9/21/22,77,27.43274,49.56726,8
Feb,BMR6-B1,21.55,BMR6-B1_H,9/21/22,71.9,27.43274,44.46726,40
Feb,BMR6-B2,21.55,BMR6-B2_H,9/21/22,66.38,27.43274,38.94726,50
Feb,BMR6-B3,21.55,BMR6-B3_H,9/21/22,65.73584906,27.43274,38.30310906,53
Feb,BMR6-B4,21.55,BMR6-B4_H,9/21/22,74.87096774,27.43274,47.43822774,31
Feb,BMR6-C1,21.55,BMR6-C1_H,9/21/22,65.38461538,27.43274,37.95187538,39
Feb,BMR6-C2,21.55,BMR6-C2_H,9/21/22,66.78723404,27.43274,39.35449404,47
Feb,BMR6-C3,21.55,BMR6-C3_H,9/21/22,63.6,27.43274,36.16726,30
Feb,BMR6-A2B,21.55,BMR6-A2B_H,9/21/22,56.69230769,27.43274,29.25956769,26
Feb,BMR1-A2,21.55,BMR1-A2_H,9/21/22,62.5,27.43274,35.06726,8
Feb,BMR1-A4,21.55,BMR1-A4_H,9/21/22,62.69811321,27.43274,35.26537321,53
Feb,BMR1-B2,21.55,BMR1-B2_H,9/21/22,58.015625,27.43274,30.582885,50
Feb,BMR1-C3,21.55,BMR1-C3_H,9/21/22,64,27.43274,36.56726,20
Feb,BMR4-A2,21.55,BMR4-A2_H,9/21/22,70.88372093,27.43274,43.45098093,43
Feb,BMR4-B3,21.55,BMR4-B3_H,9/21/22,64.41666667,27.43274,36.98392667,36
Feb,BMR4-C1,21.55,BMR4-C1_H,9/21/22,65.66666667,27.43274,38.23392667,9
Feb,BMR6-B1B,21.55,BMR6-B1B_H,9/21/22,56,27.43274,28.56726,26
Feb,BMR6-B4B,21.55,BMR6-B4B_H,9/21/22,52.7,27.43274,25.26726,40
Feb,BMR6-A1B,21.55,BMR6-A1B_H,9/21/22,47,27.43274,19.56726,8
Feb,BMR6-C2B,21.55,BMR6-C2B_H,9/21/22,51.5,27.43274,24.06726,4
Feb,PTD2-C2,21.55,PTD2-C2_H,9/21/22,82,25.59493,56.40507,6
Feb,PTD2-B2,21.55,PTD2-B2_H,9/21/22,82,25.59493,56.40507,7
Feb,PTD2-A3,21.55,PTD2-A3_H,9/21/22,82,25.59493,56.40507,3
Feb,PTD2-C3,21.55,PTD2-C3_H,9/21/22,77.33333333,25.59493,51.73840333,9
Feb,PTD2-A4,21.55,PTD2-A4_H,9/21/22,82,25.59493,56.40507,1
Feb,PTD2-C4,21.55,PTD2-C4_H,9/21/22,76.85714286,25.59493,51.26221286,14
Feb,PTD3-A3,21.55,PTD3-A3_H,9/21/22,75.59090909,25.59493,49.99597909,22
Feb,PTD3-C4,21.55,PTD3-C4_H,9/21/22,73,25.59493,47.40507,23
Feb,PTD5-C1,21.55,PTD5-C1_H,9/21/22,71.19512195,25.59493,45.60019195,41
Feb,PTD5-C3,21.55,PTD5-C3_H,9/21/22,64.65116279,25.59493,39.05623279,36
Feb,PTD5-C4,21.55,PTD5-C4_H,9/21/22,74.26190476,25.59493,48.66697476,42
Feb,PTD2-B1,21.55,PTD2-B1_H,9/21/22,79,25.59493,53.40507,2
Feb,PTD2-C1,21.55,PTD2-C1_H,9/21/22,70,25.59493,44.40507,14
Feb,PTD3-B2,21.55,PTD3-B2_H,9/21/22,63.33333333,25.59493,37.73840333,27
Feb,PTD3-C2,21.55,PTD3-C2_H,9/21/22,69.50847458,25.59493,43.91354458,59
Feb,PTD3-C3,21.55,PTD3-C3_H,9/21/22,77.8,25.59493,52.20507,15
Feb,PTD3-B3,21.55,PTD3-B3_H,9/21/22,70.41176471,25.59493,44.81683471,17
Feb,PTD5-A1,21.55,PTD5-A1_H,9/21/22,63.10869565,25.59493,37.51376565,46
Feb,PTD5-A2,21.55,PTD5-A2_H,9/21/22,67.51351351,25.59493,41.91858351,37
Feb,PTD5-B4,21.55,PTD5-B4_H,9/21/22,73.88888889,25.59493,48.29395889,27
Feb,PTD5-B3,21.55,PTD5-B3_H,9/21/22,71.42857143,25.59493,45.83364143,35
Feb,PTD5-B2,21.55,PTD5-B2_H,9/21/22,62.13953488,25.59493,36.54460488,43
Feb,PTD5-C2,21.55,PTD5-C2_H,9/21/22,2/28/00,25.59493,36558.40507,60
Feb,PTD2-A2,21.55,PTD2-A2_H,9/21/22,NA,25.59493,#VALUE!,0
Feb,PTD2-B3,21.55,PTD2-B3_H,9/21/22,NA,25.59493,#VALUE!,0
Feb,PTD2-B4,21.55,PTD2-B4_H,9/21/22,72.25,25.59493,46.65507,8
Feb,PTD2-A3B,21.55,PTD2-A3B_H,9/21/22,70,25.59493,44.40507,1
Feb,PTD2-B1B,21.55,PTD2-B1B_H,9/21/22,63.14285714,25.59493,37.54792714,7
Feb,PTD2-B3B,21.55,PTD2-B3B_H,9/21/22,51.16666667,25.59493,25.57173667,18
Feb,PTD3-A1,21.55,PTD3-A1_H,9/21/22,75,25.59493,49.40507,11
Feb,PTD3-A2,21.55,PTD3-A2_H,9/21/22,71.66666667,25.59493,46.07173667,9
Feb,PTD3-A4,21.55,PTD3-A4_H,9/21/22,75,25.59493,49.40507,14
Feb,PTD3-B1,21.55,PTD3-B1_H,9/21/22,72.27272727,25.59493,46.67779727,11
Feb,PTD3-B4,21.55,PTD3-B4_H,9/21/22,59,25.59493,33.40507,21
Feb,PTD3-C1,21.55,PTD3-C1_H,9/21/22,60.81818182,25.59493,35.22325182,11
Feb,PTD3-A1B,21.55,PTD3-A1B_H,9/21/22,63.6,25.59493,38.00507,45
Feb,PTD3-A4B,21.55,PTD3-A4B_H,9/21/22,70.13793103,25.59493,44.54300103,29
Feb,PTD2-C2B,21.55,PTD2-C2B_H,9/21/22,44.33333333,25.59493,18.73840333,9
Feb,PTD2-A4B,21.55,PTD2-A4B_H,9/21/22,50.91666667,25.59493,25.32173667,36
Feb,PTD3-C3B,21.55,PTD3-C3B_H,9/21/22,59,25.59493,33.40507,12
Feb,PTD2-C3B,21.55,PTD2-C3B_H,9/21/22,66.0625,25.59493,40.46757,16
Feb,PTD5-A3,21.55,PTD5-A3_H,9/21/22,68,25.59493,42.40507,3
Feb,PTD5-A4,21.55,PTD5-A4_H,9/21/22,64.9375,25.59493,39.34257,48
Feb,PTD5-B4B,21.55,PTD5-B4B_H,9/21/22,53.26666667,25.59493,27.67173667,45
Feb,PTD5-C4B,21.55,PTD5-C4B_H,9/21/22,46.53846154,25.59493,20.94353154,13
Feb,PTD2-A1,21.55,PTD2-A1_H,9/21/22,68,25.59493,42.40507,9
Feb,PTD5-A3B,21.55,PTD5-A3B_H,9/21/22,52,25.59493,26.40507,24
Feb,PTD2-A1B,21.55,PTD2-A1B_H,9/21/22,47.63636364,25.59493,22.04143364,22
Feb,PTD2-C1B,21.55,PTD2-C1B_H,9/21/22,61,25.59493,35.40507,7
Feb,PTD2-C4B,21.55,PTD2-C4B_H,9/21/22,53.55555556,25.59493,27.96062556,9
Feb,PTD2-A2B,21.55,PTD2-A2B_H,9/21/22,46,25.59493,20.40507,12
Feb,PTD2-B1C,21.55,PTD2-B1C_H,9/21/22,55.09090909,25.59493,29.49597909,22
Feb,PTD5-A2B,21.55,PTD5-A2B_H,9/21/22,50,25.59493,24.40507,20
Feb,PTD5-B1,21.55,PTD5-B1_H,9/21/22,56,25.59493,30.40507,7
Feb,RMR4-A1,21.55,RMR4-A1_H,9/21/22,53.45098039,25.21186,28.23912039,29
Feb,RMR4-C1,21.55,RMR4-C1_H,9/21/22,71.5,25.21186,46.28814,12
Feb,RMR4-C2,21.55,RMR4-C2_H,9/21/22,69.6,25.21186,44.38814,40
Feb,RMR4-C3,21.55,RMR4-C3_H,9/21/22,62.29310345,25.21186,37.08124345,58
Feb,RMR4-A3,21.55,RMR4-A3_H,9/21/22,82,25.21186,56.78814,1
Feb,RMR2-A1,21.55,RMR2-A1_H,9/21/22,80.6,25.21186,55.38814,5
Feb,RMR3-B2,21.55,RMR3-B2_H,9/21/22,60.66666667,25.21186,35.45480667,38
Feb,RMR3-A4,21.55,RMR3-A4_H,9/21/22,72.5,25.21186,47.28814,4
Feb,RMR4-B2,21.55,RMR4-B2_H,9/21/22,50.56521739,25.21186,25.35335739,23
Feb,RMR4-B3,21.55,RMR4-B3_H,9/21/22,75.25,25.21186,50.03814,16
Feb,RMR4-B4,21.55,RMR4-B4_H,9/21/22,62,25.21186,36.78814,13
Feb,RMR4-C4,21.55,RMR4-C4_H,9/21/22,76.5,25.21186,51.28814,18
Feb,RMR2-B1,21.55,RMR2-B1_H,9/21/22,78,25.21186,52.78814,16
Feb,RMR2-B2,21.55,RMR2-B2_H,9/21/22,75,25.21186,49.78814,11
Feb,RMR2-C2,21.55,RMR2-C2_H,9/21/22,78,25.21186,52.78814,17
Feb,RMR3-A1,21.55,RMR3-A1_H,9/21/22,73.25,25.21186,48.03814,8
Feb,RMR3-B3,21.55,RMR3-B3_H,9/21/22,56.55555556,25.21186,31.34369556,27
Feb,RMR3-C1,21.55,RMR3-C1_H,9/21/22,65.34615385,25.21186,40.13429385,26
Feb,RMR3-C3,21.55,RMR3-C3_H,9/21/22,67.04,25.21186,41.82814,50
Feb,RMR3-C4,21.55,RMR3-C4_H,9/21/22,64.23076923,25.21186,39.01890923,50
Feb,RMR2-C2B,21.55,RMR2-C2B_H,9/21/22,63.08,25.21186,37.86814,75
Feb,RMR4-A2,21.55,RMR4-A2_H,9/21/22,76,25.21186,50.78814,4
Feb,RMR4-A4,21.55,RMR4-A4_H,9/21/22,76,25.21186,50.78814,5
Feb,RMR4-B1,21.55,RMR4-B1_H,9/21/22,57.81578947,25.21186,32.60392947,38
Feb,RMR4-A2B,21.55,RMR4-A2B_H,9/21/22,52.75,25.21186,27.53814,8
Feb,RMR2-A2,21.55,RMR2-A2_H,9/21/22,75,25.21186,49.78814,2
Feb,RMR2-B3,21.55,RMR2-B3_H,9/21/22,75,25.21186,49.78814,1
Feb,RMR2-B4,21.55,RMR2-B4_H,9/21/22,75,25.21186,49.78814,3
Feb,RMR2-C1,21.55,RMR2-C1_H,9/21/22,NA,25.21186,#VALUE!,0
Feb,RMR2-C1,21.55,RMR2-C1_H,9/21/22,69,25.21186,43.78814,11
Feb,RMR2-A2B,21.55,RMR2-A2B_H,9/21/22,69,25.21186,43.78814,9
Feb,RMR4-A3B,21.55,RMR4-A3B_H,9/21/22,55.17647059,25.21186,29.96461059,34
Feb,RMR2-A1B,21.55,RMR2-A1B_H,9/21/22,52.5,25.21186,27.28814,4
