Init_date,Sibship
6/28/22,BMR1-A1
6/28/22,BMR1-B1
6/28/22,BMR1-C2
6/28/22,BMR1-B4
6/28/22,SC1-B1
6/28/22,SC1-A2
6/28/22,SC1-C4
6/28/22,RM4-A1
6/28/22,RM4-C1
6/28/22,RM4-C2
6/28/22,RM4-C3
6/28/22,RM4-A3
6/28/22,PTD2-C2
7/7/22,PTD2-B2
6/28/22,PTD2-A3
6/28/22,PTD2-C3
6/28/22,PTD2-A4
6/28/22,PTD2-C4
6/29/22,RM2-A1
6/29/22,PTD3-A3
6/29/22,PTD3-C4
6/29/22,BMR4-A1
6/29/22,BMR4-B1
6/29/22,BMR4-B4
6/29/22,SC3-C2
6/29/22,SC3-A2
6/29/22,SC3-C3
7/20/22,SC3-A4
6/30/22,RM3-B2
6/30/22,RM3-A4
6/30/22,PTD5-C1
6/30/22,PTD5-C3
6/30/22,PTD5-C4
6/30/22,BMR6-A4
6/30/22,BMR6-C4
7/4/22,RM4-B2
6/28/22,RM4-B3
7/4/22,RM4-B4
6/28/22,RM4-C4
6/28/22,PTD2-B1
6/28/22,PTD2-C1
6/28/22,BMR1-C1
6/28/22,BMR1-A3
6/28/22,BMR1-B3
6/28/22,BMR1-C4
6/30/22,BMR4-A3
6/30/22,BMR4-A4
6/30/22,BMR4-B2
6/30/22,BMR4-C3
6/30/22,BMR4-C4
6/30/22,BMR4-C2
6/30/22,SC3-A3
6/30/22,SC3-B4
6/30/22,SC3-B2
6/30/22,SC3-B1
6/30/22,SC3-C1
6/30/22,SC3-C4
6/30/22,PTD3-B2
6/30/22,PTD3-C2
6/30/22,PTD3-C3
6/30/22,PTD3-B3
6/30/22,RM2-B1
6/30/22,RM2-B2
7/5/22,RM2-C2
6/30/22,RM3-A1
6/30/22,RM3-B3
6/30/22,RM3-C1
6/30/22,RM3-C3
6/30/22,RM3-C4
6/30/22,BMR6-A1
7/6/22,BMR6-A2
7/6/22,BMR6-A3
6/30/22,BMR6-B1
6/30/22,BMR6-B2
6/30/22,BMR6-B3
6/30/22,BMR6-B4
6/30/22,BMR6-C1
6/30/22,BMR6-C2
6/30/22,BMR6-C3
6/30/22,PTD5-A1
6/30/22,PTD5-A2
6/30/22,PTD5-B4
6/30/22,PTD5-B3
6/30/22,PTD5-B2
6/30/22,PTD5-C2
6/30/22,SC4-A1
6/30/22,SC4-A2
6/30/22,SC4-A3
6/30/22,SC4-A4
6/30/22,SC4-B1
6/30/22,SC4-B2
6/30/22,SC4-B3
6/30/22,SC4-B4
6/30/22,SC4-C1
6/30/22,SC4-C2
6/30/22,SC4-C3
6/30/22,SC4-C4
7/6/22,SC4-A4B
7/5/22,RM2-C2B
7/6/22,BMR6-A2B
6/28/22,BMR1-A2
6/28/22,BMR1-A4
6/28/22,BMR1-B2
6/28/22,BMR1-C3
6/28/22,RM4-A2
6/28/22,RM4-A4
6/28/22,RM4-B1
6/28/22,PTD2-A2
6/28/22,PTD2-B3
7/7/22,PTD2-B4
6/28/22,SC1-A1
6/28/22,SC1-B2
6/28/22,SC1-B3
6/28/22,SC1-C3
6/28/22,SC1-C2
7/7/22,PTD2-A3B
7/7/22,PTD2-B1B
7/7/22,RM4-A2B
7/7/22,PTD2-B3B
6/29/22,RM2-A2
6/29/22,RM2-B3
6/29/22,RM2-B4
6/29/22,RM2-C1
6/29/22,SC3-A1
6/29/22,PTD3-A1
6/29/22,PTD3-A2
6/29/22,PTD3-A4
6/29/22,PTD3-B1
6/29/22,PTD3-B4
6/29/22,PTD3-C1
6/29/22,BMR4-A2
6/29/22,BMR4-B3
6/29/22,BMR4-C1
6/29/22,SC3-B3
7/8/22,PTD3-A1B
7/8/22,PTD3-A4B
7/11/22,RM2-C1
7/8/22,RM2-A2B
7/7/22,SC1-B2B
6/28/22,SC1-A3
7/20/22,RM4-A3B
7/11/22,PTD2-C2B
7/11/22,PTD2-A4B
7/11/22,SC3-B2B
7/20/22,RM2-A1B
7/20/22,RM2-B1B
7/11/22,RM2-A3B
7/11/22,RM2-C3
6/29/22,RM2-A4
6/29/22,RM2-C4
7/11/22,PTD3-C3B
7/11/22,PTD2-C3B
6/30/22,PTD5-A3
6/30/22,PTD5-A4
6/30/22,RM3-A2
6/30/22,RM3-B4
6/30/22,RM3-C2
7/20/22,RM4-B3B
6/28/22,SC1-C1
7/20/22,SC4-A3B
7/20/22,RM4-C4B
7/20/22,SC4-B3B
7/20/22,RM4-C1B
7/11/22,RM2-B3B
6/30/22,RM3-A3
7/15/22,RM3-B1
6/28/22,SC1-B4
7/20/22,PTD5-B4B
7/15/22,PTD5-C4B
6/28/22,PTD2-A1
7/20/22,SC3-A1B
7/20/22,SC3-A3B
7/20/22,RM2-C1B
7/20/22,RM2-A2C
7/20/22,RM2-B2B
7/20/22,RM2-B3C
7/21/22,RM2-A4B
7/21/22,RM2-C4B
7/20/22,RM3-A2B
7/20/22,RM3-A1B
7/20/22,RM3-A4B
7/20/22,BMR6-B1B
7/20/22,BMR6-B4B
7/20/22,PTD5-A3B
7/20/22,PTD2-A1B
7/20/22,PTD2-C1B
7/20/22,PTD2-C4B
7/22/22,SC1-A4
7/25/22,PTD2-A2B
7/25/22,PTD2-B1C
7/25/22,PTD5-A2B
8/5/22,BMR6-A1B
7/25/22,PTD5-B1
7/25/22,BMR6-C2B
8/2/22,BMR6-A1B
