"Date Time, GMT -0800","Temp, (*F)"
2/16/22 16:40,59.12
2/16/22 16:50,61.3
2/16/22 17:00,62.03
2/16/22 17:10,61.53
2/16/22 17:20,61.09
2/16/22 17:30,60.62
2/16/22 17:40,60.3
2/16/22 17:50,59.91
2/16/22 18:00,59.49
2/16/22 18:10,59.16
2/16/22 18:20,58.73
2/16/22 18:30,58.4
2/16/22 18:40,57.9
2/16/22 18:50,57.71
2/16/22 19:00,57.38
2/16/22 19:10,57.11
2/16/22 19:20,56.72
2/16/22 19:30,56.51
2/16/22 19:40,56.28
2/16/22 19:50,56.03
2/16/22 20:00,55.72
2/16/22 20:10,55.45
2/16/22 20:20,55.16
2/16/22 20:30,54.74
2/16/22 20:40,54.25
2/16/22 20:50,54.06
2/16/22 21:00,53.69
2/16/22 21:10,53.46
2/16/22 21:20,53.27
2/16/22 21:30,53.11
2/16/22 21:40,52.88
2/16/22 21:50,52.69
2/16/22 22:00,52.46
2/16/22 22:10,52.23
2/16/22 22:20,51.82
2/16/22 22:30,51.38
2/16/22 22:40,51.36
2/16/22 22:50,52.07
2/16/22 23:00,52.52
2/16/22 23:10,52.81
2/16/22 23:20,52.98
2/16/22 23:30,53.08
2/16/22 23:40,53.04
2/16/22 23:50,53.06
2/17/22 0:00,53.04
2/17/22 0:10,53.04
2/17/22 0:20,52.81
2/17/22 0:30,52.73
2/17/22 0:40,52.61
2/17/22 0:50,52.48
2/17/22 1:00,52.32
2/17/22 1:10,52.25
2/17/22 1:20,52.03
2/17/22 1:30,51.88
2/17/22 1:40,51.69
2/17/22 1:50,51.57
2/17/22 2:00,51.38
2/17/22 2:10,51.28
2/17/22 2:20,51.11
2/17/22 2:30,50.91
2/17/22 2:40,50.51
2/17/22 2:50,50.41
2/17/22 3:00,50.28
2/17/22 3:10,49.79
2/17/22 3:20,49.72
2/17/22 3:30,49.54
2/17/22 3:40,49.43
2/17/22 3:50,49.22
2/17/22 4:00,49.04
2/17/22 4:10,48.67
2/17/22 4:20,48.29
2/17/22 4:30,48.25
2/17/22 4:40,48.06
2/17/22 4:50,48
2/17/22 5:00,47.84
2/17/22 5:10,47.61
2/17/22 5:20,47.86
2/17/22 5:30,47.54
2/17/22 5:40,47.59
2/17/22 5:50,47.54
2/17/22 6:00,47.46
2/17/22 6:10,47.36
2/17/22 6:20,47.25
2/17/22 6:30,47.15
2/17/22 6:40,46.92
2/17/22 6:50,46.8
2/17/22 7:00,46.78
2/17/22 7:10,46.74
2/17/22 7:20,46.98
2/17/22 7:30,47.21
2/17/22 7:40,47.57
2/17/22 7:50,48.1
2/17/22 8:00,48.46
2/17/22 8:10,49.23
2/17/22 8:20,50.32
2/17/22 8:30,51.53
2/17/22 8:40,53.39
2/17/22 8:50,55.2
2/17/22 9:00,56.09
2/17/22 9:10,56.11
2/17/22 9:20,56.05
2/17/22 9:30,56.53
2/17/22 9:40,57.15
2/17/22 9:50,56.3
2/17/22 10:00,57.07
2/17/22 10:10,58.89
2/17/22 10:20,58.67
2/17/22 10:30,58.13
2/17/22 10:40,58.81
2/17/22 10:50,57.98
2/17/22 11:00,59.23
2/17/22 11:10,60.16
2/17/22 11:20,61.01
2/17/22 11:30,60.99
2/17/22 11:40,59.89
2/17/22 11:50,61.59
2/17/22 12:00,63.4
2/17/22 12:10,65.03
2/17/22 12:20,67.48
2/17/22 12:30,69.89
2/17/22 12:40,71.28
2/17/22 12:50,72.01
2/17/22 13:00,72.54
2/17/22 13:10,73.17
2/17/22 13:20,73.69
2/17/22 13:30,74.29
2/17/22 13:40,74.52
2/17/22 13:50,74.79
2/17/22 14:00,75.03
2/17/22 14:10,75.32
2/17/22 14:20,75.89
2/17/22 14:30,75.66
2/17/22 14:40,75.37
2/17/22 14:50,72.21
2/17/22 15:00,71.05
2/17/22 15:10,70.45
2/17/22 15:20,69.5
2/17/22 15:30,68.67
2/17/22 15:40,67.77
2/17/22 15:50,66.94
2/17/22 16:00,66.2
2/17/22 16:10,65.49
2/17/22 16:20,64.99
2/17/22 16:30,64.39
2/17/22 16:40,63.77
2/17/22 16:50,63.29
2/17/22 17:00,62.77
2/17/22 17:10,62.3
2/17/22 17:20,61.86
2/17/22 17:30,61.34
2/17/22 17:40,60.93
2/17/22 17:50,60.37
2/17/22 18:00,59.85
2/17/22 18:10,59.47
2/17/22 18:20,58.91
2/17/22 18:30,58.42
2/17/22 18:40,57.84
2/17/22 18:50,57.25
2/17/22 19:00,56.86
2/17/22 19:10,56.38
2/17/22 19:20,55.8
2/17/22 19:30,55.24
2/17/22 19:40,54.95
2/17/22 19:50,54.37
2/17/22 20:00,53.85
2/17/22 20:10,53.62
2/17/22 20:20,53.17
2/17/22 20:30,52.79
2/17/22 20:40,52.57
2/17/22 20:50,52.13
2/17/22 21:00,51.76
2/17/22 21:10,51.67
2/17/22 21:20,51.49
2/17/22 21:30,51.18
2/17/22 21:40,50.97
2/17/22 21:50,50.62
2/17/22 22:00,50.43
2/17/22 22:10,50.16
2/17/22 22:20,49.91
2/17/22 22:30,49.76
2/17/22 22:40,49.5
2/17/22 22:50,49.31
2/17/22 23:00,49.08
2/17/22 23:10,48.93
2/17/22 23:20,48.81
2/17/22 23:30,48.58
2/17/22 23:40,48.46
2/17/22 23:50,48.39
2/18/22 0:00,48.23
2/18/22 0:10,48.11
2/18/22 0:20,47.96
2/18/22 0:30,47.84
2/18/22 0:40,47.71
2/18/22 0:50,47.65
2/18/22 1:00,47.67
2/18/22 1:10,47.63
2/18/22 1:20,47.44
2/18/22 1:30,47.38
2/18/22 1:40,47.27
2/18/22 1:50,47.21
2/18/22 2:00,47.19
2/18/22 2:10,47.09
2/18/22 2:20,46.86
2/18/22 2:30,46.69
2/18/22 2:40,46.47
2/18/22 2:50,46.38
2/18/22 3:00,46.22
2/18/22 3:10,46.15
2/18/22 3:20,45.84
2/18/22 3:30,45.7
2/18/22 3:40,45.59
2/18/22 3:50,45.47
2/18/22 4:00,45.3
2/18/22 4:10,45.24
2/18/22 4:20,45.06
2/18/22 4:30,45.05
2/18/22 4:40,44.99
2/18/22 4:50,44.81
2/18/22 5:00,44.68
2/18/22 5:10,44.56
2/18/22 5:20,44.49
2/18/22 5:30,44.52
2/18/22 5:40,44.43
2/18/22 5:50,44.33
2/18/22 6:00,44.23
2/18/22 6:10,44.23
2/18/22 6:20,44.16
2/18/22 6:30,43.96
2/18/22 6:40,43.98
2/18/22 6:50,43.98
2/18/22 7:00,43.98
2/18/22 7:10,43.98
2/18/22 7:20,44.18
2/18/22 7:30,44.49
2/18/22 7:40,44.95
2/18/22 7:50,45.55
2/18/22 8:00,46.18
2/18/22 8:10,46.86
2/18/22 8:20,47.75
2/18/22 8:30,48.71
2/18/22 8:40,49.87
2/18/22 8:50,50.91
2/18/22 9:00,51.86
2/18/22 9:10,53.37
2/18/22 9:20,53.93
2/18/22 9:30,55.41
2/18/22 9:40,57.5
